Q59E67_DROME	Q59E67_DROME
Q0IGT4_DROME	Q0IGT4_DROME
CLOCK_DROME	CLOCK_DROME
Q9V406_DROME	Q9V406_DROME
ESM3_DROME	ESM3_DROME
ESM3_DROME	ESMB_DROME
CWO_DROME	CWO_DROME
DA_DROME	DA_DROME
ESM8_DROME	ESM8_DROME
ESM8_DROME	ESM5_DROME
DIMM_DROME	DIMM_DROME
DPN_DROME	DPN_DROME
ESMD_DROME	ESMD_DROME
A8JRD4_DROME	A8JRD4_DROME
ESMC_DROME	ESMC_DROME
ESMC_DROME	ESM7_DROME
EMC_DROME	EMC_DROME
A0A0B4KFD8_DROME	A0A0B4KFD8_DROME
FER3_DROME	FER3_DROME
A0A0B4LH77_DROME	A0A0B4LH77_DROME
Q9VXW7_DROME	Q9VXW7_DROME
Q9VXW7_DROME	Q9VYW2_DROME
Q9W4X2_DROME	Q9W4X2_DROME
HAIR_DROME	HAIR_DROME
M9PH26_DROME	M9PH26_DROME
AST3_DROME	AST3_DROME
AST3_DROME	AST5_DROME
Q0IGU7_DROME	Q0IGU7_DROME
MYOD_DROME	MYOD_DROME
Q9VL05_DROME	Q9VL05_DROME
Q9VPI8_DROME	Q9VPI8_DROME
Q9VWX7_DROME	Q9VWX7_DROME
Q9VHG3_DROME	Q9VHG3_DROME
HEY_DROME	HEY_DROME
AST4_DROME	AST4_DROME
MAX_DROME	MAX_DROME
SIM_DROME	SIM_DROME
E1JIM6_DROME	E1JIM6_DROME
C3KGP2_DROME	C3KGP2_DROME
M9MRG5_DROME	M9MRG5_DROME
E1JJD1_DROME	E1JJD1_DROME
TAP_DROME	TAP_DROME
Q8INT6_DROME	Q8INT6_DROME
ARNT_DROME	ARNT_DROME
ARNT_DROME	CYCL_DROME
MYC_DROME	MYC_DROME
TRH_DROME	TRH_DROME
Q9VJC1_DROME	Q9VJC1_DROME
TWIST_DROME	TWIST_DROME
Q9VW37_DROME	Q9VW37_DROME
DEI_DROME	DEI_DROME
Q9VJ16_DROME	Q9VJ16_DROME
Q9W4J8_DROME	Q9W4J8_DROME
AMOS_DROME	AMOS_DROME
AST8_DROME	AST8_DROME
ATO_DROME	ATO_DROME
Q9VB47_DROME	Q9VB47_DROME
