AEBP1_HUMAN	AEBP1_HUMAN
GPBL1_HUMAN	GPBL1_HUMAN
GPBL1_HUMAN	GPBP1_HUMAN
ELYS_HUMAN	ELYS_HUMAN
TF2B_HUMAN	TF2B_HUMAN
SAFB2_HUMAN	SAFB2_HUMAN
SAFB2_HUMAN	SAFB1_HUMAN
AHDC1_HUMAN	AHDC1_HUMAN
HMGN3_HUMAN	HMGN3_HUMAN
SCMH1_HUMAN	SCMH1_HUMAN
SCMH1_HUMAN	SCML4_HUMAN
AKAP8_HUMAN	AKAP8_HUMAN
CSEN_HUMAN	CSEN_HUMAN
AKP8L_HUMAN	AKP8L_HUMAN
KIN17_HUMAN	KIN17_HUMAN
SKI_HUMAN	SKI_HUMAN
AKNA_HUMAN	AKNA_HUMAN
TRFL_HUMAN	TRFL_HUMAN
SKIL_HUMAN	SKIL_HUMAN
BPTF_HUMAN	BPTF_HUMAN
MTF2_HUMAN	MTF2_HUMAN
MTF2_HUMAN	PHF19_HUMAN
MTF2_HUMAN	PHF1_HUMAN
SKOR1_HUMAN	SKOR1_HUMAN
BRF2_HUMAN	BRF2_HUMAN
NACC2_HUMAN	NACC2_HUMAN
SMYD3_HUMAN	SMYD3_HUMAN
CARTF_HUMAN	CARTF_HUMAN
A0A494C0K1_HUMAN	A0A494C0K1_HUMAN
SNPC2_HUMAN	SNPC2_HUMAN
CBX2_HUMAN	CBX2_HUMAN
NFYB_HUMAN	NFYB_HUMAN
SNPC5_HUMAN	SNPC5_HUMAN
C2D1A_HUMAN	C2D1A_HUMAN
NFYC_HUMAN	NFYC_HUMAN
SON_HUMAN	SON_HUMAN
CEBPZ_HUMAN	CEBPZ_HUMAN
NKRF_HUMAN	NKRF_HUMAN
MINT_HUMAN	MINT_HUMAN
CENPA_HUMAN	CENPA_HUMAN
NDKB_HUMAN	NDKB_HUMAN
SPZ1_HUMAN	SPZ1_HUMAN
CENPS_HUMAN	CENPS_HUMAN
NR0B1_HUMAN	NR0B1_HUMAN
TCF20_HUMAN	TCF20_HUMAN
CENPT_HUMAN	CENPT_HUMAN
NRF1_HUMAN	NRF1_HUMAN
TET2_HUMAN	TET2_HUMAN
CENPX_HUMAN	CENPX_HUMAN
PA2G4_HUMAN	PA2G4_HUMAN
THYN1_HUMAN	THYN1_HUMAN
CGBP1_HUMAN	CGBP1_HUMAN
PCGF2_HUMAN	PCGF2_HUMAN
TMF1_HUMAN	TMF1_HUMAN
MIC19_HUMAN	MIC19_HUMAN
PCGF6_HUMAN	PCGF6_HUMAN
TOPRS_HUMAN	TOPRS_HUMAN
CPEB1_HUMAN	CPEB1_HUMAN
TRAD1_HUMAN	TRAD1_HUMAN
CSRN1_HUMAN	CSRN1_HUMAN
T22D1_HUMAN	T22D1_HUMAN
PHF20_HUMAN	PHF20_HUMAN
WIZ_HUMAN	WIZ_HUMAN
CSRN3_HUMAN	CSRN3_HUMAN
CSRN3_HUMAN	CSRN2_HUMAN
PF21A_HUMAN	PF21A_HUMAN
XPA_HUMAN	XPA_HUMAN
DACH1_HUMAN	DACH1_HUMAN
DACH1_HUMAN	DACH2_HUMAN
PLS1_HUMAN	PLS1_HUMAN
ZN326_HUMAN	ZN326_HUMAN
OBF1_HUMAN	OBF1_HUMAN
Z385C_HUMAN	Z385C_HUMAN
TDIF1_HUMAN	TDIF1_HUMAN
PREB_HUMAN	PREB_HUMAN
ZN474_HUMAN	ZN474_HUMAN
DOT1L_HUMAN	DOT1L_HUMAN
PRR12_HUMAN	PRR12_HUMAN
ZN487_HUMAN	ZN487_HUMAN
NC2B_HUMAN	NC2B_HUMAN
ZN706_HUMAN	ZN706_HUMAN
NC2A_HUMAN	NC2A_HUMAN
ZN750_HUMAN	ZN750_HUMAN
F170A_HUMAN	F170A_HUMAN
PURG_HUMAN	PURG_HUMAN
PURG_HUMAN	PURB_HUMAN
PURG_HUMAN	PURA_HUMAN
GLMP_HUMAN	GLMP_HUMAN
RAG1_HUMAN	RAG1_HUMAN
GLYR1_HUMAN	GLYR1_HUMAN
HOIL1_HUMAN	HOIL1_HUMAN
REXO4_HUMAN	REXO4_HUMAN
