ABI3_ARATH	ABI3_ARATH
Y1664_ARATH	Y1664_ARATH
Y5625_ARATH	Y5625_ARATH
Y5625_ARATH	Y3158_ARATH
Y5625_ARATH	Y2608_ARATH
ARFJ_ARATH	ARFJ_ARATH
ARFJ_ARATH	ARFP_ARATH
ARFJ_ARATH	ARFQ_ARATH
REM20_ARATH	REM20_ARATH
Y1022_ARATH	Y1022_ARATH
Y1022_ARATH	Y1317_ARATH
Y1022_ARATH	Y5406_ARATH
REM22_ARATH	REM22_ARATH
Y5475_ARATH	Y5475_ARATH
Y5475_ARATH	Y5547_ARATH
REM23_ARATH	REM23_ARATH
REM23_ARATH	Y5800_ARATH
REM23_ARATH	Y5809_ARATH
REM23_ARATH	Y2621_ARATH
REM23_ARATH	Y5691_ARATH
REM23_ARATH	Y2531_ARATH
RAVL3_ARATH	RAVL3_ARATH
RAVL3_ARATH	RAVL2_ARATH
REML3_ARATH	REML3_ARATH
Y5849_ARATH	Y5849_ARATH
Y5849_ARATH	Y3485_ARATH
Y5849_ARATH	Y5405_ARATH
Y5849_ARATH	Y3961_ARATH
Y5849_ARATH	Y1593_ARATH
REM4_ARATH	REM4_ARATH
REM4_ARATH	REM3_ARATH
REM4_ARATH	REM2_ARATH
Y1786_ARATH	Y1786_ARATH
Y1786_ARATH	A0A178WKG1_ARATH
REM6_ARATH	REM6_ARATH
REM6_ARATH	REM5_ARATH
Y5772_ARATH	Y5772_ARATH
REM8_ARATH	REM8_ARATH
REM8_ARATH	REM9_ARATH
REM8_ARATH	A0A1P8B795_ARATH
ARFB_ARATH	ARFB_ARATH
ARFB_ARATH	ARFI_ARATH
ARFB_ARATH	ARFM_ARATH
ARFB_ARATH	ARFK_ARATH
ARFB_ARATH	ARFR_ARATH
ARFB_ARATH	ARFA_ARATH
ARFB_ARATH	ARFU_ARATH
ARFB_ARATH	ARFN_ARATH
ARFB_ARATH	ARFV_ARATH
ARFB_ARATH	ARFL_ARATH
ARFB_ARATH	ARFO_ARATH
ARFB_ARATH	ARFW_ARATH
ARFB_ARATH	ARFT_ARATH
Y5828_ARATH	Y5828_ARATH
Y2192_ARATH	Y2192_ARATH
VAL1_ARATH	VAL1_ARATH
VAL1_ARATH	VAL2_ARATH
REML1_ARATH	REML1_ARATH
Y5142_ARATH	Y5142_ARATH
Y5142_ARATH	Y5014_ARATH
Y5142_ARATH	Y5013_ARATH
VAL3_ARATH	VAL3_ARATH
Y2142_ARATH	Y2142_ARATH
Y5698_ARATH	Y5698_ARATH
VRN1_ARATH	VRN1_ARATH
VRN1_ARATH	REM19_ARATH
ARFC_ARATH	ARFC_ARATH
Y2272_ARATH	Y2272_ARATH
FUS3_ARATH	FUS3_ARATH
Y2372_ARATH	Y2372_ARATH
LEC2_ARATH	LEC2_ARATH
ARFD_ARATH	ARFD_ARATH
Y4563_ARATH	Y4563_ARATH
Y3701_ARATH	Y3701_ARATH
NGA3_ARATH	NGA3_ARATH
NGA3_ARATH	NGA4_ARATH
NGA3_ARATH	NGA1_ARATH
NGA3_ARATH	NGA2_ARATH
Y3896_ARATH	Y3896_ARATH
Y3896_ARATH	Y4158_ARATH
Y3896_ARATH	Y1475_ARATH
Y3918_ARATH	Y3918_ARATH
Y3918_ARATH	Y5270_ARATH
REM1_ARATH	REM1_ARATH
ARFG_ARATH	ARFG_ARATH
ARFG_ARATH	ARFS_ARATH
ARFG_ARATH	ARFF_ARATH
ARFG_ARATH	ARFH_ARATH
ARFG_ARATH	ARFE_ARATH
REM10_ARATH	REM10_ARATH
REM10_ARATH	REM15_ARATH
REM10_ARATH	REM14_ARATH
REM10_ARATH	A0A1P8AY78_ARATH
Y2172_ARATH	Y2172_ARATH
Y2172_ARATH	Y2881_ARATH
REM11_ARATH	REM11_ARATH
REM13_ARATH	REM13_ARATH
REM13_ARATH	REM7_ARATH
REM13_ARATH	REM12_ARATH
REM13_ARATH	REML2_ARATH
Y1592_ARATH	Y1592_ARATH
Y4316_ARATH	Y4316_ARATH
Y4317_ARATH	Y4317_ARATH
Y4317_ARATH	Y1060_ARATH
Y1898_ARATH	Y1898_ARATH
REM16_ARATH	REM16_ARATH
Y1045_ARATH	Y1045_ARATH
Y1045_ARATH	Y1197_ARATH
Y1045_ARATH	Y3852_ARATH
Y3440_ARATH	Y3440_ARATH
Y3440_ARATH	REM21_ARATH
Y3440_ARATH	Y3622_ARATH
REM17_ARATH	REM17_ARATH
